Ethnicity,Gender,Arrests
0.00,1.00,10.00
0.00,1.00,25.00
0.00,1.00,9.00
0.00,1.00,0.00
0.00,1.00,4.00
0.00,1.00,0.00
0.00,1.00,9.00
0.00,1.00,0.00
0.00,1.00,11.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,8.00
0.00,1.00,0.00
0.00,1.00,83.00
0.00,1.00,12.00
0.00,1.00,12.00
0.00,1.00,17.00
0.00,1.00,7.00
0.00,1.00,10.00
0.00,1.00,62.00
0.00,1.00,15.00
0.00,1.00,2.00
0.00,1.00,1.00
0.00,1.00,2.00
0.00,1.00,280.00
0.00,1.00,1.00
0.00,1.00,1.00
0.00,1.00,2.00
0.00,1.00,2.00
0.00,1.00,13.00
0.00,1.00,31.00
0.00,1.00,10.00
0.00,1.00,20.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,4.00
0.00,1.00,11.00
0.00,1.00,75.00
0.00,1.00,3.00
0.00,1.00,7.00
0.00,1.00,153.00
0.00,1.00,157.00
0.00,1.00,1.00
0.00,1.00,4.00
0.00,1.00,12.00
0.00,1.00,8.00
0.00,1.00,1.00
0.00,1.00,2.00
0.00,1.00,0.00
0.00,1.00,5.00
0.00,1.00,4.00
0.00,1.00,5.00
0.00,1.00,0.00
0.00,1.00,2.00
0.00,1.00,10.00
0.00,1.00,3.00
0.00,1.00,50.00
0.00,1.00,4.00
0.00,1.00,10.00
0.00,1.00,12.00
0.00,1.00,0.00
0.00,1.00,7.00
0.00,1.00,18.00
0.00,1.00,19.00
0.00,1.00,0.00
0.00,1.00,10.00
0.00,1.00,2.00
0.00,1.00,186.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,4.00
0.00,1.00,10.00
0.00,1.00,16.00
0.00,1.00,3.00
0.00,1.00,17.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,4.00
0.00,1.00,5.00
0.00,1.00,44.00
0.00,1.00,1.00
0.00,1.00,1.00
0.00,1.00,106.00
0.00,1.00,103.00
0.00,1.00,0.00
0.00,1.00,45.00
0.00,1.00,101.00
0.00,1.00,37.00
0.00,1.00,13.00
0.00,1.00,32.00
0.00,1.00,5.00
0.00,1.00,36.00
0.00,1.00,10.00
0.00,1.00,26.00
0.00,1.00,4.00
0.00,1.00,6.00
0.00,1.00,54.00
0.00,1.00,11.00
0.00,1.00,285.00
0.00,1.00,17.00
0.00,1.00,58.00
0.00,1.00,56.00
0.00,1.00,13.00
0.00,1.00,75.00
0.00,1.00,94.00
0.00,1.00,156.00
0.00,1.00,2.00
0.00,1.00,34.00
0.00,1.00,15.00
0.00,1.00,1211.00
0.00,1.00,7.00
0.00,1.00,6.00
0.00,1.00,8.00
0.00,1.00,25.00
0.00,1.00,69.00
0.00,1.00,105.00
0.00,1.00,25.00
0.00,1.00,60.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,60.00
0.00,1.00,64.00
0.00,1.00,304.00
0.00,1.00,22.00
0.00,1.00,41.00
0.00,1.00,538.00
0.00,1.00,504.00
0.00,1.00,4.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,1.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,1.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,1.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,1.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,2.00
0.00,1.00,1.00
0.00,1.00,1.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,7.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,1.00
0.00,1.00,1.00
0.00,1.00,1.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,4.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,2.00
0.00,1.00,1.00
0.00,1.00,0.00
0.00,0.00,63.00
0.00,0.00,241.00
0.00,0.00,141.00
0.00,0.00,19.00
0.00,0.00,32.00
0.00,0.00,13.00
0.00,0.00,97.00
0.00,0.00,17.00
0.00,0.00,30.00
0.00,0.00,9.00
0.00,0.00,8.00
0.00,0.00,87.00
0.00,0.00,7.00
0.00,0.00,748.00
0.00,0.00,64.00
0.00,0.00,73.00
0.00,0.00,100.00
0.00,0.00,29.00
0.00,0.00,155.00
0.00,0.00,485.00
0.00,0.00,282.00
0.00,0.00,6.00
0.00,0.00,34.00
0.00,0.00,19.00
0.00,0.00,3438.00
0.00,0.00,3.00
0.00,0.00,10.00
0.00,0.00,18.00
0.00,0.00,78.00
0.00,0.00,131.00
0.00,0.00,121.00
0.00,0.00,87.00
0.00,0.00,198.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,99.00
0.00,0.00,80.00
0.00,0.00,641.00
0.00,0.00,32.00
0.00,0.00,75.00
0.00,0.00,944.00
0.00,0.00,1595.00
0.00,0.00,10.00
0.00,0.00,79.00
0.00,0.00,229.00
0.00,0.00,135.00
0.00,0.00,20.00
0.00,0.00,51.00
0.00,0.00,10.00
0.00,0.00,75.00
0.00,0.00,23.00
0.00,0.00,34.00
0.00,0.00,9.00
0.00,0.00,11.00
0.00,0.00,95.00
0.00,0.00,22.00
0.00,0.00,759.00
0.00,0.00,41.00
0.00,0.00,70.00
0.00,0.00,120.00
0.00,0.00,28.00
0.00,0.00,146.00
0.00,0.00,365.00
0.00,0.00,379.00
0.00,0.00,15.00
0.00,0.00,72.00
0.00,0.00,35.00
0.00,0.00,2791.00
0.00,0.00,10.00
0.00,0.00,16.00
0.00,0.00,18.00
0.00,0.00,61.00
0.00,0.00,90.00
0.00,0.00,171.00
0.00,0.00,93.00
